id,rewardGold,rewardExp,timeLimit,enemyWaves,timeStartWaves
1,100,50,60,3:1-3:2-3:3|2:1-3:2,0|10|30
2,200,120,75,1:1-2:2|3:2-3:3-1:1|2:2,0|10|20
3,300,200,90,2:1-2:1-3:3|3:2-1:2|2:3-3:1,0|20|30
4,400,300,100,1:1-3:2-3:3|2:2-1:1-2:3,0|10|30
5,500,420,110,2:1-2:2-3:3|3:1-1:2|3:2-2:3,0|20|30
6,650,550,120,1:1-1:1-2:2-2:3|3:2-1:1|2:3-3:2-1:2,0|10|20
7,800,700,130,2:1-3:2-3:3-1:2|2:2-3:3|1:2-2:3,0|20|30
8,1000,900,140,1:1-2:2-3:2-3:3|2:1-1:2-3:3|2:3-3:2-1:3,0|100|120
9,1250,1150,150,3:2-3:2-2:3-2:3|1:1-2:2-3:3|1:3-3:2,0|100|120
10,1500,1400,160,2:1-2:2-3:3-1:2|3:2-2:3-1:3|3:3-2:2-1:3,0|100|125
